x=36, y=269, text="Vatra Dornei"
x=33, y=263, text=""
x=31, y=259, text=""
x=23, y=252, text=""
x=17, y=248, text=""
x=16, y=240, text=""
x=13, y=238, text=""
x=18, y=230, text=""
x=15, y=220, text=""
x=28, y=208, text=""
x=35, y=201, text=""
x=45, y=193, text=""
x=58, y=183, text=""
x=69, y=177, text=""
x=78, y=172, text=""
x=86, y=167, text=""
x=103, y=166, text=""
x=119, y=175, text="Campulung Moldovenesc"
x=130, y=181, text=""
x=142, y=171, text=""
x=148, y=158, text=""
x=159, y=148, text=""
x=166, y=148, text=""
x=182, y=156, text=""
x=195, y=164, text=""
x=217, y=162, text=""
x=230, y=158, text="Gura Humorului"
x=240, y=158, text=""
x=249, y=161, text=""
x=254, y=153, text=""
x=259, y=146, text=""
x=276, y=142, text=""
x=279, y=129, text=""
x=292, y=126, text=""
x=304, y=124, text=""
x=316, y=118, text=""
x=329, y=109, text=""
x=344, y=106, text=""
x=354, y=102, text="Suceava"
x=357, y=113, text=""
x=352, y=116, text=""
x=362, y=131, text=""
x=369, y=149, text=""
x=368, y=173, text=""
x=376, y=197, text=""
x=381, y=213, text="Falticeni"
x=378, y=224, text=""
x=398, y=248, text=""
x=421, y=268, text=""
x=436, y=282, text=""
x=456, y=308, text=""
x=478, y=321, text=""
x=498, y=333, text="Pascani"
x=513, y=332, text=""
x=527, y=332, text=""
x=547, y=329, text=""
x=575, y=348, text=""
x=582, y=355, text=""
x=592, y=353, text=""
x=606, y=347, text=""
x=624, y=349, text=""
x=637, y=349, text=""
x=641, y=342, text="Targu Frumos"
x=652, y=339, text=""
x=671, y=340, text=""
x=690, y=340, text=""
x=699, y=336, text=""
x=713, y=343, text=""
x=721, y=341, text=""
x=731, y=344, text=""
x=736, y=345, text=""
x=743, y=341, text=""
x=756, y=346, text=""
x=790, y=359, text=""
x=814, y=366, text=""
x=828, y=364, text=""
x=841, y=364, text=""
x=855, y=376, text="Iasi"
